,Date,Open,High,Low,Close
4999,2004-06-10,1.2046,1.2116,1.2019,1.2101
4998,2004-06-11,1.2108,1.2113,1.1962,1.2007
4997,2004-06-14,1.2003,1.2086,1.195,1.2059
4996,2004-06-15,1.2065,1.2165,1.2022,1.2158
4995,2004-06-16,1.2158,1.2165,1.1976,1.2006
4994,2004-06-17,1.2001,1.2076,1.1989,1.2061
4993,2004-06-18,1.2051,1.2144,1.1971,1.2137
4992,2004-06-21,1.2137,1.2144,1.2072,1.2108
4991,2004-06-22,1.2102,1.2131,1.2063,1.2094
4990,2004-06-23,1.2093,1.2192,1.206,1.2081
4989,2004-06-24,1.2085,1.2188,1.2037,1.2169
4988,2004-06-25,1.2162,1.2188,1.2103,1.215
4987,2004-06-28,1.2137,1.2228,1.2117,1.2183
4986,2004-06-29,1.2185,1.2194,1.2065,1.2078
4985,2004-06-30,1.2079,1.2173,1.2062,1.2172
4984,2004-07-01,1.2189,1.2209,1.2129,1.2169
4983,2004-07-02,1.2164,1.233,1.2164,1.2321
4982,2004-07-05,1.2315,1.2331,1.2278,1.2294
4981,2004-07-06,1.228,1.2331,1.2278,1.228
4980,2004-07-07,1.2303,1.2389,1.227,1.2366
4979,2004-07-08,1.2366,1.2405,1.2336,1.2389
4978,2004-07-09,1.2388,1.2424,1.2367,1.241
4977,2004-07-12,1.241,1.2436,1.2384,1.2401
4976,2004-07-13,1.2326,1.2412,1.2295,1.2332
4975,2004-07-14,1.2393,1.2421,1.2312,1.2381
4974,2004-07-15,1.2381,1.2389,1.2347,1.2353
4973,2004-07-16,1.2344,1.246,1.2344,1.2446
4972,2004-07-19,1.2429,1.246,1.2394,1.2439
4971,2004-07-20,1.2326,1.2453,1.2297,1.2323
4970,2004-07-21,1.2323,1.2352,1.2208,1.2273
4969,2004-07-22,1.2252,1.2295,1.2229,1.2251
4968,2004-07-23,1.2249,1.2266,1.2087,1.2092
4967,2004-07-26,1.2092,1.2172,1.2087,1.2134
4966,2004-07-27,1.215,1.2193,1.2029,1.2051
4965,2004-07-28,1.2049,1.2079,1.1993,1.205
4964,2004-07-29,1.2029,1.2098,1.1987,1.2036
4963,2004-07-30,1.2029,1.2116,1.2,1.2007
4962,2004-08-02,1.2062,1.2094,1.2012,1.2015
4961,2004-08-03,1.2028,1.2078,1.1991,1.205
4960,2004-08-04,1.2065,1.207,1.1965,1.2055
4959,2004-08-05,1.2043,1.2073,1.2015,1.2056
4958,2004-08-06,1.2058,1.2288,1.2037,1.228
4957,2004-08-09,1.2273,1.2288,1.2244,1.2266
4956,2004-08-10,1.2267,1.2316,1.2223,1.223
4955,2004-08-11,1.2211,1.2247,1.206,1.2216
4954,2004-08-12,1.2215,1.2301,1.2214,1.2244
4953,2004-08-13,1.2259,1.2374,1.2172,1.2372
4952,2004-08-16,1.2365,1.2381,1.2315,1.2352
4951,2004-08-17,1.2359,1.2388,1.2307,1.2352
4950,2004-08-18,1.2323,1.2366,1.2283,1.233
4949,2004-08-19,1.2336,1.2378,1.2329,1.2365
4948,2004-08-20,1.2362,1.2382,1.2274,1.2304
4947,2004-08-23,1.2315,1.2316,1.2129,1.213
4946,2004-08-24,1.2137,1.2166,1.2058,1.2079
4945,2004-08-25,1.208,1.2115,1.2049,1.208
4944,2004-08-26,1.2086,1.2121,1.2037,1.2101
4943,2004-08-27,1.21,1.2135,1.1994,1.2012
4942,2004-08-30,1.2015,1.2069,1.1985,1.2043
4941,2004-08-31,1.2051,1.2194,1.2038,1.2174
4940,2004-09-01,1.2185,1.2217,1.2143,1.2193
4939,2004-09-02,1.2186,1.2199,1.2137,1.217
4938,2004-09-03,1.2165,1.2193,1.2036,1.2056
4937,2004-09-06,1.2071,1.2079,1.2043,1.2062
4936,2004-09-07,1.2103,1.211,1.205,1.2102
4935,2004-09-08,1.2188,1.2192,1.2022,1.2181
4934,2004-09-09,1.2181,1.2243,1.2153,1.2237
4933,2004-09-10,1.2194,1.2309,1.2156,1.2266
4932,2004-09-13,1.2252,1.2287,1.222,1.2258
4931,2004-09-14,1.2246,1.2294,1.2221,1.2256
4930,2004-09-15,1.2253,1.2259,1.213,1.215
4929,2004-09-16,1.2153,1.2199,1.212,1.2184
4928,2004-09-17,1.2187,1.2223,1.2152,1.2173
4927,2004-09-20,1.2165,1.2197,1.2122,1.2165
4926,2004-09-21,1.2165,1.2345,1.2163,1.2325
4925,2004-09-22,1.2336,1.2338,1.2223,1.2263
4924,2004-09-23,1.2256,1.2338,1.2251,1.2268
4923,2004-09-24,1.2271,1.2361,1.2231,1.2274
4922,2004-09-27,1.229,1.2314,1.2244,1.2295
4921,2004-09-28,1.2288,1.2347,1.2278,1.2323
4920,2004-09-29,1.2316,1.2338,1.2286,1.2331
4919,2004-09-30,1.2324,1.2444,1.2309,1.2431
4918,2004-10-01,1.2431,1.2438,1.2381,1.2407
4917,2004-10-04,1.2388,1.2407,1.2252,1.2286
4916,2004-10-05,1.228,1.2329,1.2259,1.2309
4915,2004-10-06,1.2316,1.2322,1.2243,1.2273
4914,2004-10-07,1.2278,1.2311,1.2267,1.2295
4913,2004-10-08,1.2287,1.2433,1.228,1.2409
4912,2004-10-11,1.2411,1.2416,1.2365,1.238
4911,2004-10-12,1.2378,1.2381,1.2285,1.2318
4910,2004-10-13,1.2323,1.2354,1.2223,1.2339
4909,2004-10-14,1.2344,1.2417,1.2316,1.2381
4908,2004-10-15,1.2388,1.2495,1.2374,1.2474
4907,2004-10-18,1.2472,1.2532,1.2459,1.2488
4906,2004-10-19,1.2497,1.2525,1.2446,1.2512
4905,2004-10-20,1.2517,1.2627,1.2483,1.2575
4904,2004-10-21,1.258,1.2648,1.2567,1.2609
4903,2004-10-22,1.2617,1.2689,1.2595,1.2684
4902,2004-10-25,1.2675,1.2829,1.2673,1.2795
4901,2004-10-26,1.2798,1.2841,1.2723,1.2745
4900,2004-10-27,1.2759,1.2811,1.269,1.2696
4899,2004-10-28,1.2702,1.2763,1.2626,1.2742
4898,2004-10-29,1.2738,1.2797,1.2704,1.2783
4897,2004-11-01,1.274,1.2831,1.2713,1.2747
4896,2004-11-02,1.274,1.2755,1.2661,1.2739
4895,2004-11-03,1.2815,1.2829,1.2652,1.2822
4894,2004-11-04,1.2856,1.2897,1.2788,1.2869
4893,2004-11-05,1.2856,1.295,1.2757,1.2942
4892,2004-11-08,1.2913,1.2984,1.2903,1.2914
4891,2004-11-09,1.2896,1.294,1.2879,1.2897
4890,2004-11-10,1.2898,1.3005,1.2847,1.2888
4889,2004-11-11,1.2884,1.2918,1.2854,1.2899
4888,2004-11-12,1.2906,1.2989,1.287,1.2979
4887,2004-11-15,1.297,1.2998,1.2913,1.2943
4886,2004-11-16,1.2963,1.2996,1.2917,1.2953
4885,2004-11-17,1.304,1.3048,1.2946,1.3029
4884,2004-11-18,1.297,1.3075,1.2936,1.2958
4883,2004-11-19,1.297,1.3068,1.2934,1.3015
4882,2004-11-22,1.3027,1.305,1.3006,1.3042
4881,2004-11-23,1.3035,1.3105,1.297,1.3084
4880,2004-11-24,1.3078,1.3186,1.3077,1.3184
